Iteration,w1,w2,w3,f1,f2,f3,MaxRegret,Source
20,0.932728,0.0313042,0.0359682,20.4618,8.82195,1.03785,0,tree_path
20,0.932728,0.0313042,0.0359682,20.5051,8.82748,1.0291,0,tree_path
20,0.932728,0.0313042,0.0359682,20.4987,8.81561,1.04856,0,tree_path
21,0.108327,0.414926,0.476747,21.5311,2.90091,1.68143,0.0362965,planned
21,0.108327,0.414926,0.476747,21.4786,2.89897,1.68049,0,tree_path
21,0.108327,0.414926,0.476747,21.484,2.8994,1.6799,0,tree_path
21,0.108327,0.414926,0.476747,21.5458,2.87528,1.71103,0,tree_path
22,0.932343,0.0314834,0.0361741,20.4027,9.82346,1.04014,0.0435852,planned
22,0.932343,0.0314834,0.0361741,20.4027,9.82346,1.04014,0,tree_path
22,0.932343,0.0314834,0.0361741,20.4027,9.82346,1.04014,0,tree_path
23,0.115777,0.41146,0.472764,21.5265,2.83369,1.73125,0.0387928,planned
23,0.115777,0.41146,0.472764,21.5265,2.83369,1.73125,0,tree_path
23,0.115777,0.41146,0.472764,21.6483,2.83185,1.75022,0,tree_path
23,0.115777,0.41146,0.472764,21.5265,2.83369,1.73125,0,tree_path
23,0.115777,0.41146,0.472764,21.5114,2.83246,1.73313,0,tree_path
23,0.115777,0.41146,0.472764,21.5262,2.83369,1.73116,0,tree_path
23,0.115777,0.41146,0.472764,21.6676,2.84056,1.73058,0,tree_path
24,0.130097,0.404796,0.465107,21.4177,3.05031,1.59707,0.043591,planned
24,0.130097,0.404796,0.465107,21.4177,3.05031,1.59707,0,tree_path
24,0.130097,0.404796,0.465107,21.4215,3.05064,1.5964,0,tree_path
24,0.130097,0.404796,0.465107,21.4177,3.05031,1.59707,0,tree_path
24,0.130097,0.404796,0.465107,21.4494,3.05246,1.59497,0,tree_path
25,0.937779,0.0289536,0.0332674,20.5199,7.61649,1.12612,0.0400831,planned
25,0.937779,0.0289536,0.0332674,20.5113,8.05844,1.08693,0,tree_path
26,0.115777,0.41146,0.472764,21.46,2.93508,1.66953,0.0375056,planned
26,0.115777,0.41146,0.472764,21.46,2.93508,1.66953,0,tree_path
26,0.115777,0.41146,0.472764,21.46,2.93508,1.66953,0,tree_path
26,0.115777,0.41146,0.472764,21.5646,2.95793,1.6471,0,tree_path
26,0.115777,0.41146,0.472764,21.4613,2.93425,1.67228,0,tree_path
26,0.115777,0.41146,0.472764,21.6005,2.79313,1.76338,0,tree_path
27,0.115777,0.41146,0.472764,21.524,2.89566,1.69316,0.0375056,planned
27,0.115777,0.41146,0.472764,21.524,2.89566,1.69316,0,tree_path
27,0.115777,0.41146,0.472764,21.524,2.89566,1.69316,0,tree_path
27,0.115777,0.41146,0.472764,21.5935,2.93919,1.65412,0,tree_path
27,0.115777,0.41146,0.472764,21.5218,2.89579,1.6924,0,tree_path
27,0.115777,0.41146,0.472764,21.5237,2.89631,1.69107,0,tree_path
27,0.115777,0.41146,0.472764,21.5346,2.91766,1.67115,0,tree_path
27,0.115777,0.41146,0.472764,21.5377,2.91787,1.67084,0,tree_path
28,0.115777,0.41146,0.472764,21.429,2.90282,1.6921,0.0375056,planned
28,0.115777,0.41146,0.472764,21.429,2.90282,1.6921,0,tree_path
28,0.115777,0.41146,0.472764,21.429,2.90282,1.6921,0,tree_path
28,0.115777,0.41146,0.472764,21.4097,2.8903,1.71087,0,tree_path
28,0.115777,0.41146,0.472764,21.4154,2.89057,1.71081,0,tree_path
29,0.115777,0.41146,0.472764,21.4644,2.94799,1.64851,0.0375056,planned
29,0.115777,0.41146,0.472764,21.4644,2.94799,1.64851,0,tree_path
29,0.115777,0.41146,0.472764,21.4644,2.94799,1.64851,0,tree_path
29,0.115777,0.41146,0.472764,21.4968,2.94723,1.6545,0,tree_path
29,0.115777,0.41146,0.472764,21.5107,2.94995,1.64829,0,tree_path
30,0.115777,0.41146,0.472764,21.5861,2.82977,1.72909,0.0375056,planned
30,0.115777,0.41146,0.472764,21.5861,2.82977,1.72909,0,tree_path
30,0.115777,0.41146,0.472764,21.8107,2.84107,1.72771,0,tree_path
30,0.115777,0.41146,0.472764,21.5861,2.82977,1.72909,0,tree_path
30,0.115777,0.41146,0.472764,21.5883,2.82986,1.72908,0,tree_path
31,0.115777,0.41146,0.472764,21.5158,2.83202,1.75521,0.0375056,planned
31,0.115777,0.41146,0.472764,21.5158,2.83202,1.75521,0,tree_path
31,0.115777,0.41146,0.472764,21.5158,2.83202,1.75521,0,tree_path
31,0.115777,0.41146,0.472764,21.5182,2.83198,1.75571,0,tree_path
