Iteration,w1,w2,w3,f1,f2,f3,MaxRegret,Source
21,0.908065,0,0.0919346,20.0825,0.982002,10.0412,0.0660009,planned
22,0.908065,0,0.0919346,20.1008,0.988092,10.0504,0.0660009,planned
22,0.908065,0,0.0919346,20.6815,1.02371,5.67612,0,tree_path
23,0.908065,0,0.0919346,20.077,0.980706,10.0385,0.0660009,planned
23,0.908065,0,0.0919346,20.9271,1.01418,5.07988,0,tree_path
24,0.908065,0,0.0919346,20.069,0.979607,10.0345,0.0660009,planned
25,0.908065,0,0.0919346,20.1118,0.98556,10.0559,0.0660009,planned
25,0.908065,0,0.0919346,20.6423,1.00663,6.19925,0,tree_path
26,0.908065,0,0.0919346,20.0714,0.979464,10.0357,0.0660009,planned
27,0.908065,0,0.0919346,20.08,0.980095,10.04,0.0660009,planned
28,0.908065,0,0.0919346,20.0561,0.979182,10.0281,0.0660009,planned
28,0.908065,0,0.0919346,20.6519,1.01034,6.18296,0,tree_path
29,0.908065,0,0.0919346,20.0996,0.984402,10.0497,0.0660009,planned
30,0.908065,0,0.0919346,20.1029,0.980981,10.0515,0.0660009,planned
30,0.908065,0,0.0919346,20.6641,1.01995,5.56728,0,tree_path
31,0.908065,0,0.0919346,20.124,0.981867,10.062,0.0660009,planned
31,0.908065,0,0.0919346,20.7064,1.02432,5.42301,0,tree_path
