Length, Risk, TravelTime, Paths.x, Paths.y , Fitness, Weights
24.0667,1.49896,2.43554,"1;1.22788;1.52636;1.75029;1.72942;1.89703;2.07784;2.35387;2.44182;2.91327;3.30382;3.59509;3.89671;4.27055;4.50186;4.93544;5.38779;5.73313;6.2016;6.56514;6.89314;7.1709;7.6311;8.08147;8.30936;8.71287;8.94093;9.24761;9.57628;9.83275;10.1846;10.6062;11.0025;11.3001;11.6769;12.0451;12.2989;12.6755;12.7931;13.2484;13.6535;13.8754;14.3203;14.6841;15.1395;15.4696;15.9545;16.3525;16.8309;17.1603;17.3954;17.8449;18.2955;18.6965;18.9563;19.4138;19.6237;20.106;20.57;20.8693;20.8725;21.0244;21.059;21.1088;21.185;21","15;14.8334;14.4798;14.0818;13.9059;13.4586;13.1274;12.7387;12.6814;12.5964;12.3613;12.4833;12.5937;12.5771;12.6916;12.6057;12.605;12.644;12.6733;12.7339;12.7693;12.6409;12.7081;12.8849;12.7806;12.8531;12.8234;12.7359;12.8491;12.9273;12.7958;12.8192;12.8418;12.8618;12.8627;12.8773;12.7966;12.7037;12.6857;12.6084;12.6012;12.6302;12.661;12.6334;12.7529;12.8299;12.7899;12.7216;12.7045;12.6859;12.6925;12.6438;12.7069;12.5461;12.56;12.5206;12.5987;12.6484;12.6331;12.7382;13.1387;13.5449;13.9964;14.3215;14.671;15",2.12335,"0;0.333333;0.666667"
23.8769,1.47015,2.4632,"1;1.30974;1.51978;1.83633;1.92547;2.04484;2.2321;2.10745;2.47013;2.83376;3.25674;3.67574;4.07872;4.34369;4.79971;4.9665;5.3425;5.78041;5.9158;6.31763;6.77166;7.04251;7.48979;7.77829;8.17944;8.55126;8.92024;9.36344;9.6585;10.1253;10.5648;10.972;11.0747;11.5242;11.7314;12.0629;12.5052;12.8511;13.3082;13.7474;14.2354;14.4354;14.8787;15.3589;15.7592;15.9695;16.3038;16.5522;17.0004;17.313;17.7771;18.1299;18.38;18.6505;19.1;19.4721;19.8353;20.2192;20.6784;20.7486;20.7895;20.7381;20.751;20.8943;21","15;14.7417;14.345;14.175;14.002;13.7583;13.3102;12.9712;12.8217;12.5937;12.4883;12.386;12.3512;12.3413;12.2945;12.344;12.2475;12.2395;12.2887;12.1877;12.1159;12.038;12.0646;12.1225;12.1992;12.3345;12.3835;12.4216;12.3934;12.5011;12.573;12.5843;12.5723;12.5357;12.3893;12.4222;12.5035;12.608;12.692;12.755;12.7622;12.7387;12.7628;12.7154;12.7408;12.8005;12.9067;12.913;12.9027;12.624;12.5995;12.6657;12.7567;12.8313;12.8038;12.6585;12.7194;12.8165;12.8115;13.1872;13.535;13.7919;14.1226;14.5793;15",2.09908,"0;0.366667;0.633333"
23.6459,1.38848,2.4438,"1;1.37342;1.58062;1.70753;1.89114;2.16376;2.20806;2.24988;2.49097;2.96306;3.26987;3.6494;4.05148;4.53287;4.93022;5.03639;5.48389;5.60174;5.9561;6.23041;6.72675;7.20451;7.68625;8.1659;8.58433;9.00874;9.26408;9.672;9.88275;10.1863;10.4408;10.8016;11.1333;11.5626;11.7891;12.0948;12.4876;12.9029;13.2297;13.6489;13.9701;14.3173;14.6229;15.02;15.4889;15.7576;16.0227;16.4287;16.7232;17.1898;17.6291;18.0918;18.297;18.7792;19.1515;19.5595;19.7312;20.1513;20.4231;20.7603;20.735;20.7682;20.8568;20.9455;21","15;14.7513;14.5156;14.3571;14.0751;13.7581;13.3857;12.9092;12.7843;12.6509;12.6124;12.5681;12.4596;12.47;12.4423;12.421;12.3966;12.4286;12.4241;12.3947;12.3403;12.3891;12.4158;12.4063;12.3726;12.3506;12.3769;12.329;12.2925;12.2593;12.3076;12.3335;12.3412;12.3376;12.4144;12.4849;12.5844;12.6874;12.6474;12.7691;12.9318;12.9026;12.9023;12.8944;12.977;12.9239;12.8025;12.692;12.7354;12.6737;12.6011;12.5357;12.4162;12.4349;12.5192;12.5548;12.5163;12.6315;12.7647;12.8416;13.2744;13.713;14.205;14.6971;15",2.02167,"0;0.4;0.6"
24.0071,1.27968,2.60713,"1;1.49642;1.68769;1.90241;2.11457;2.31422;2.42194;2.59822;2.66442;2.74653;3.19193;3.56718;3.83763;4.17708;4.62064;4.79647;5.27313;5.64442;5.92153;6.33484;6.81069;7.06196;7.51048;7.7634;8.12872;8.29751;8.75667;9.02023;9.43035;9.71143;10.0251;10.4539;10.559;11.0066;11.32;11.7009;12.167;12.4734;12.9548;13.2254;13.5447;13.7312;14.1767;14.539;14.8401;15.2397;15.6102;15.9821;16.4663;16.8883;17.1884;17.6649;17.9655;18.3655;18.7383;19.2167;19.6304;20.1012;20.3948;20.6115;21.0936;21.0453;21.0019;21.1096;20.954;21","15;14.9402;14.7068;14.3962;14.1439;13.7691;13.5666;13.191;13.0238;12.8563;12.9018;12.9957;12.928;12.9647;12.9788;12.9626;12.8749;12.9225;12.8792;12.8275;12.981;12.9455;12.7959;12.7665;12.8496;12.8675;12.8633;12.7888;12.7314;12.5306;12.428;12.3062;12.3146;12.3437;12.3835;12.3711;12.4711;12.344;12.2675;12.4532;12.5982;12.7025;12.7346;12.7756;12.7941;12.8713;12.7319;12.6799;12.7775;12.8129;12.8635;12.9205;12.7838;12.9618;12.8019;12.776;12.858;12.7888;12.7711;12.8143;12.8962;13.383;13.723;14.1258;14.5976;15",2.0319,"0;0.433333;0.566667"
23.9983,1.57724,2.35227,"1;1.24425;1.45457;1.61151;1.6795;1.88356;1.92292;2.00117;2.47492;2.88439;3.29969;3.71662;4.15861;4.2891;4.7809;5.03748;5.26097;5.6794;6.17854;6.50488;6.84632;7.27001;7.58696;8.06873;8.54395;8.87311;9.0467;9.52104;9.8648;10.193;10.4724;10.6964;11.0614;11.5291;11.9471;12.3246;12.7633;12.9897;13.4874;13.9158;14.3285;14.7561;15.1484;15.5539;15.9263;16.3382;16.6752;17.0109;17.4804;17.9226;18.311;18.4244;18.8383;19.2724;19.6791;20.0346;20.5142;20.7858;20.8363;20.8767;20.8112;20.7814;20.9067;21","15;14.7536;14.3874;14.0924;13.9511;13.5189;13.0252;12.8294;12.7361;12.94;12.8478;12.8122;12.7679;12.7606;12.772;12.6821;12.5365;12.3925;12.3651;12.1981;12.1586;12.0693;12.0787;12.1568;12.0722;12.233;12.1298;12.1893;12.1303;12.2537;12.3588;12.4505;12.6042;12.5429;12.5295;12.3933;12.4451;12.4338;12.4483;12.4701;12.5637;12.6531;12.9562;12.9501;12.971;12.9336;12.9214;12.7827;12.752;12.5917;12.6617;12.6242;12.7576;12.7979;12.8586;12.9111;12.9337;12.9252;13.3902;13.6151;14.0664;14.3939;14.7331;15",1.99059,"0;0.466667;0.533333"
23.9852,1.3741,2.65459,"1;1.3919;1.51739;1.76283;1.90873;2.13265;2.25662;2.28567;2.36363;2.55126;3.00119;3.30946;3.74309;4.14507;4.49876;4.93264;5.36741;5.76282;6.09697;6.57776;6.78775;7.15049;7.40782;7.78705;8.08102;8.47815;8.95969;9.11633;9.53896;9.80041;10.0919;10.3573;10.7263;11.0635;11.4868;11.9372;12.1897;12.5731;12.8357;13.2839;13.7474;13.9568;14.4365;14.5556;14.8882;15.035;15.5011;15.917;16.1216;16.5017;16.9693;17.4148;17.7302;18.136;18.5355;18.8397;19.0358;19.3695;19.6569;19.9998;20.2336;20.2195;20.3047;20.3989;20.4128;20.4037;20.7627;21","15;14.9399;14.8406;14.4178;14.0536;13.793;13.4474;12.9796;12.9416;12.9747;12.823;12.6341;12.5154;12.6645;12.6251;12.6147;12.5513;12.3869;12.4381;12.4119;12.2984;12.2731;12.5777;12.5571;12.5337;12.4022;12.3329;12.3572;12.322;12.2015;12.1424;12.0598;12.0768;12.1679;12.0635;11.8965;11.7531;11.6134;11.5578;11.7511;11.9188;12.2258;12.2115;12.3278;12.4258;12.5112;12.6325;12.5977;12.6368;12.8536;12.6828;12.727;12.6888;12.6606;12.4981;12.5364;12.5523;12.7045;12.7906;12.9162;13.0024;13.4941;13.8016;14.0429;14.4554;14.5488;14.826;15",2.01435,"0;0.5;0.5"
24.2105,1.36581,2.52525,"1;1.25881;1.58638;1.93741;2.12738;2.33954;2.44558;2.4515;2.52771;2.91659;3.35302;3.8502;4.31492;4.66206;5.04439;5.30257;5.58866;5.92416;6.31663;6.80895;7.10644;7.46574;7.86285;8.25649;8.56962;8.77425;9.10437;9.34337;9.76815;10.0859;10.3376;10.7292;10.9427;11.3536;11.6867;11.9912;12.1738;12.6301;12.9837;13.4715;13.6091;14.0245;14.2897;14.749;15.2405;15.6962;15.9826;16.2967;16.6561;17.0937;17.5648;17.9252;18.1134;18.5107;18.9841;19.3864;19.7578;20.1388;20.5481;20.7173;20.761;20.7618;20.8037;20.7977;20.9154;21","15;14.8602;14.5601;14.3368;14.0109;13.7048;13.3348;13.1344;12.6652;12.3656;12.2324;12.1829;11.9993;12.0549;12.3076;12.2553;12.2176;12.0927;11.8641;11.8318;11.8211;11.7387;11.6644;11.6665;11.7475;11.74;11.8226;11.685;11.8568;11.9601;11.9967;12.1842;12.2153;12.2571;12.3296;12.5019;12.5739;12.5907;12.5931;12.5311;12.5286;12.4307;12.5881;12.4599;12.3818;12.3482;12.3601;12.4033;12.4609;12.4197;12.418;12.5301;12.4534;12.4134;12.4495;12.4802;12.4682;12.5085;12.5942;12.769;13.0388;13.507;13.9052;14.2926;14.5902;15",1.90688,"0;0.533333;0.466667"
23.4614,1.18778,2.70886,"1;1.43337;1.64634;2.02366;2.22075;2.42141;2.67199;2.87461;3.01644;3.46527;3.56065;4.01619;4.16034;4.62546;4.87421;5.33713;5.67025;6.01134;6.44214;6.83528;7.18653;7.4553;7.78982;8.21875;8.49997;8.93835;9.03385;9.47233;9.62994;9.96779;10.4138;10.8928;11.2617;11.5155;11.8356;12.239;12.5733;13.0543;13.3078;13.6576;14.0803;14.3538;14.5799;15.0501;15.3685;15.7745;16.0695;16.4652;16.6702;17.1199;17.4576;17.806;18.053;18.3224;18.6791;18.9054;19.2223;19.6747;20.04;20.5331;20.88;20.9753;20.8685;20.7735;20.9216;21.0477;21","15;14.8374;14.7238;14.4683;14.2315;14.0772;13.8148;13.4023;12.9855;12.9265;12.927;12.8719;12.8686;12.7889;12.7513;12.6758;12.7003;12.7806;12.7419;12.6821;12.5621;12.45;12.4905;12.2895;12.2468;12.2931;12.2877;12.2917;12.396;12.4022;12.4132;12.5274;12.4931;12.485;12.5485;12.6476;12.661;12.7017;12.7661;12.8027;12.7093;12.8017;12.8273;12.905;12.8895;12.8823;12.9576;12.7476;12.8369;12.8239;12.7548;12.9026;12.8129;12.7841;12.7577;12.7466;12.8081;12.8121;12.8032;12.789;12.9096;13.0093;13.4862;13.9619;14.3409;14.6456;15",1.84691,"0;0.566667;0.433333"
24.0604,1.25683,2.60029,"1;1.42563;1.77636;2.12186;2.27823;2.42175;2.53886;2.6302;2.71774;3.13357;3.39017;3.69374;3.94366;4.38343;4.76228;5.08291;5.36701;5.69768;6.13201;6.59218;7.03672;7.47953;7.97122;8.44876;8.90803;9.31359;9.59211;9.87481;10.2029;10.5418;10.9817;11.3443;11.6567;12.1258;12.5753;13.029;13.3676;13.7504;14.1799;14.5029;14.6945;15.0765;15.5575;15.8777;16.2941;16.6479;16.8647;17.3582;17.7076;17.9619;18.324;18.6392;19.0458;19.4101;19.7359;19.9921;20.4652;20.618;21.0576;21.0897;21.0734;21.1679;21.182;20.9987;21","15;14.8509;14.6123;14.2978;13.9752;13.7351;13.484;13.1178;12.9576;12.832;12.7284;12.5322;12.5052;12.383;12.4173;12.2942;12.1597;12.0978;11.8956;11.7305;11.808;11.7198;11.7959;11.8147;11.9768;12.0506;12.0025;11.9858;12.244;12.302;12.2198;12.1575;12.1041;12.1101;12.2417;12.2278;12.2293;12.3106;12.4165;12.5887;12.6886;12.8365;12.9003;12.8753;12.9311;12.9287;12.9174;12.8957;12.904;12.9592;12.881;12.9722;12.895;12.8504;12.7707;12.7692;12.8189;12.73;12.7878;13.1419;13.4414;13.8764;14.277;14.7412;15",1.79422,"0;0.6;0.4"
23.1581,1.29463,2.62505,"1;1.34745;1.6847;1.92355;2.26075;2.42715;2.57167;3.06501;3.26084;3.72918;4.20608;4.38101;4.7151;5.01346;5.45789;5.72123;6.11879;6.46673;6.88054;7.08954;7.56245;7.85667;8.04588;8.36689;8.57314;8.98901;9.1152;9.58841;10.0208;10.4108;10.7697;11.2345;11.5257;11.9247;12.1412;12.4854;12.6967;13.1169;13.4962;13.7902;14.2695;14.5784;14.9414;15.2775;15.7545;16.1679;16.5406;16.963;17.2196;17.6003;18.0765;18.4966;18.8138;19.2746;19.6907;19.8687;20.2587;20.2968;20.3104;20.3265;20.4782;20.5129;20.9035;21","15;14.7642;14.4624;14.1268;13.762;13.2968;12.9692;12.9984;12.9684;12.9486;12.9974;12.8786;12.8786;12.8256;12.7915;12.7783;12.8878;12.9477;12.9342;12.8944;12.7523;12.6965;12.6157;12.5419;12.5379;12.4872;12.4545;12.5217;12.5346;12.5791;12.6229;12.5788;12.6233;12.5121;12.5274;12.5192;12.474;12.4514;12.5984;12.6222;12.605;12.5598;12.8391;12.9622;12.9119;12.6632;12.7928;12.8948;12.9219;12.9757;12.9594;12.8576;12.7768;12.8063;12.8441;12.8529;12.905;13.1564;13.6029;13.9642;14.3796;14.5602;14.771;15",1.78245,"0;0.633333;0.366667"
